No,Name,Genre,RMS,LUFS,LRA,N peaks,DR,Crest,LR coeff,MS coeff
530,../master-dynamics/audio/530.mp3,reggaeton,0.2414056807756424,-11.364542961120605,3.3789024353027344,454,11.475993,6.701571464538574,-0.0006928741931915283,0.10107720209090923
150,../master-dynamics/audio/150.mp3,reggae,0.2679630517959595,-9.090439796447754,0.9607133865356445,142,3.6824527,4.829649448394775,0.012894362211227417,0.22788503493410556
36,../master-dynamics/audio/36.mp3,classical,0.07980544120073318,-18.116844177246094,3.072938919067383,0,9.780835,6.489238739013672,-0.001447133719921112,0.3671344565936558
1,../master-dynamics/audio/1.mp3,classical,0.05933073163032532,-22.02753448486328,7.390718460083008,0,37.82964,7.542270660400391,-1.862645149230957e-08,0.00014889763800168674
69,../master-dynamics/audio/69.mp3,house,0.3263050317764282,-7.546436309814453,5.860609531402588,39,8.894644,4.2392659187316895,0.0007684826850891113,0.29455744522613564
628,../master-dynamics/audio/628.mp3,disco,0.3237127363681793,-6.656532287597656,1.473337173461914,520,5.712741,4.317074775695801,0.0030108392238616943,0.28894578427298145
125,../master-dynamics/audio/125.mp3,jazz,0.13240395486354828,-13.935001373291016,6.370126724243164,0,20.583042,7.587985992431641,-0.008292898535728455,0.31025733262465693
424,../master-dynamics/audio/424.mp3,rhythm and blues,0.12971661984920502,-14.381304740905762,3.8783092498779297,0,16.446138,6.804441928863525,0.001033782958984375,0.06069886273705326
422,../master-dynamics/audio/422.mp3,rhythm and blues,0.16154664754867554,-12.330695152282715,4.474534034729004,0,13.235172,6.97613525390625,0.0021738260984420776,0.029938835438180763
557,../master-dynamics/audio/557.mp3,rock,0.12914110720157623,-13.85092830657959,1.0023069381713867,0,4.1171665,5.3843255043029785,0.0011857450008392334,0.36949317925163805
11,../master-dynamics/audio/11.mp3,classical,0.026794448494911194,-27.032207489013672,15.385313034057617,0,59.80123,15.38078784942627,0.003984043374657631,0.40898729780138077
80,../master-dynamics/audio/80.mp3,house,0.2810049057006836,-7.063599109649658,1.974898338317871,57,8.836483,4.778842449188232,-0.00976291298866272,0.33970835693524143
201,../master-dynamics/audio/201.mp3,k-pop,0.3398596942424774,-6.2887492179870605,1.615980625152588,3465,7.5349655,4.447936058044434,0.010459333658218384,0.3092438004010617
85,../master-dynamics/audio/85.mp3,house,0.19234198331832886,-12.734513282775879,1.6240949630737305,0,8.608003,5.872289180755615,0.006022036075592041,0.2434317888191789
89,../master-dynamics/audio/89.mp3,jazz,0.16191279888153076,-13.14741325378418,1.7367591857910156,0,9.844858,7.027048110961914,0.03731217980384827,0.22324535751075086
261,../master-dynamics/audio/261.mp3,metal,0.2519594728946686,-7.550141334533691,0.98638916015625,79,4.8850336,5.132149696350098,-0.020811855792999268,0.35468229589347533
500,../master-dynamics/audio/500.mp3,orchestral,0.11239422857761383,-15.412834167480469,2.0127696990966797,0,8.054404,10.16317081451416,0.0010633692145347595,0.36474862191662605
234,../master-dynamics/audio/234.mp3,hip-hop,0.30911609530448914,-8.40331745147705,2.1758413314819336,2363,11.22711,5.400173664093018,0.000605463981628418,0.14504284483595034
524,../master-dynamics/audio/524.mp3,reggaeton,0.23634789884090424,-9.466175079345703,2.461672782897949,0,38.575993,5.716307640075684,-0.011013850569725037,0.22204791478319938
156,../master-dynamics/audio/156.mp3,reggae,0.30770039558410645,-9.599602699279785,0.9642915725708008,262,9.307314,4.618871212005615,-0.004605203866958618,0.11601965524935696
493,../master-dynamics/audio/493.mp3,orchestral,0.19239069521427155,-10.201467514038086,1.5519046783447266,0,7.9523067,6.029728889465332,0.04782290756702423,0.4088040341112025
657,../master-dynamics/audio/657.mp3,disco,0.3278034031391144,-6.340305328369141,1.4584083557128906,346,4.2076864,4.239992141723633,0.0043142735958099365,0.29881971114321937
78,../master-dynamics/audio/78.mp3,house,0.24388852715492249,-11.075592994689941,3.4070253372192383,40,10.989033,6.08623743057251,0.015369027853012085,0.2894275116282468
667,../master-dynamics/audio/667.mp3,motown,0.08799576014280319,-17.363744735717773,0.700408935546875,0,4.4662304,6.792669296264648,-0.003052636981010437,0.3521391590643277
638,../master-dynamics/audio/638.mp3,disco,0.29365119338035583,-9.117490768432617,1.1330223083496094,2585,11.131801,5.054455757141113,-0.0067494213581085205,0.17719859780047686
624,../master-dynamics/audio/624.mp3,disco,0.08455657958984375,-17.1910457611084,4.301746368408203,0,11.483353,8.185136795043945,-0.00010135024785995483,0.45219081275606815
142,../master-dynamics/audio/142.mp3,reggae,0.11921617388725281,-14.865978240966797,2.7327098846435547,0,9.315234,7.5528130531311035,0.004543334245681763,0.26480677175259576
601,../master-dynamics/audio/601.mp3,soul,0.23673444986343384,-10.824190139770508,1.9950075149536133,0,13.537899,5.712423801422119,0.004899248480796814,0.23479420743813498
151,../master-dynamics/audio/151.mp3,reggae,0.23202182352542877,-10.502918243408203,3.9700679779052734,2168,11.682641,6.808486461639404,0.006535142660140991,0.24038048765093825
66,../master-dynamics/audio/66.mp3,house,0.35013413429260254,-8.465422630310059,2.7610702514648438,378,14.326803,4.121969223022461,-0.0013823211193084717,0.20304877971603563
495,../master-dynamics/audio/495.mp3,orchestral,0.03273778781294823,-25.67745018005371,5.284261703491211,0,15.233145,9.391410827636719,0.005578421056270599,0.4572377919108617
538,../master-dynamics/audio/538.mp3,reggaeton,0.13225288689136505,-13.647287368774414,12.693852424621582,0,19.592625,6.553317546844482,-0.0011215656995773315,0.3361340134508435
648,../master-dynamics/audio/648.mp3,disco,0.16355755925178528,-12.287620544433594,1.9367895126342773,0,5.978504,4.6086859703063965,-0.001306682825088501,0.27990455251847257
390,../master-dynamics/audio/390.mp3,funk,0.3456907868385315,-8.377800941467285,1.7691402435302734,982,8.462475,3.923093795776367,-0.001534789800643921,0.1346720122111114
207,../master-dynamics/audio/207.mp3,k-pop,0.33000198006629944,-6.662040710449219,3.3329038619995117,1948,12.011584,4.837104320526123,0.001452624797821045,0.30749321539412156
163,../master-dynamics/audio/163.mp3,reggae,0.24547618627548218,-10.082368850708008,4.319169044494629,548,11.997604,6.095814228057861,0.0022090375423431396,0.23039575880540802
441,../master-dynamics/audio/441.mp3,pop,0.35077324509620667,-7.066360950469971,0.8664641380310059,1622,3.9493399,4.179198265075684,0.003386259078979492,0.23002001852400075
551,../master-dynamics/audio/551.mp3,rock,0.26607003808021545,-8.183732986450195,2.065920829772949,1,5.391837,4.713650226593018,-0.025222212076187134,0.36784541823205186
19,../master-dynamics/audio/19.mp3,classical,0.049793802201747894,-21.308176040649414,7.065927505493164,0,18.188622,12.577709197998047,-0.013480845838785172,0.4704520976862289
522,../master-dynamics/audio/522.mp3,reggaeton,0.23328690230846405,-10.413244247436523,2.7203903198242188,90,31.437662,6.317036151885986,-7.450580596923828e-08,3.78869787265458e-05
592,../master-dynamics/audio/592.mp3,soul,0.2942843437194824,-9.03114128112793,1.1500225067138672,74,6.7638707,4.658606052398682,-0.0020436644554138184,0.1619749511971725
237,../master-dynamics/audio/237.mp3,hip-hop,0.20493629574775696,-11.365665435791016,3.005247116088867,0,10.561406,6.423748016357422,-0.0039217472076416016,0.17657434661529853
133,../master-dynamics/audio/133.mp3,reggae,0.3429446220397949,-7.97493839263916,1.6179265975952148,525,7.1182094,3.943557024002075,0.0035789012908935547,0.17235979340695137
635,../master-dynamics/audio/635.mp3,disco,0.38883838057518005,-6.590849876403809,1.3229303359985352,837,4.2218227,3.5405027866363525,0.0019651949405670166,0.18272536692426372
